Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Sudan,4.617,33.70681,19.0,7.65215815,23.84892967,720.0,93.0,93.0,93.0,90.0,93.0,67.0,10731215.0,-544257.0,22.70949014,61.6056535311679,36.7782607644713,0.808373216038761,50448963.0,36.87,40.8,31907960.0,1.041,0.005,9.9,83.0,11.658,1.93022930430759,18541003.0
Tonga,3.274,260.73986816,19.6,139.14756202,21.51198432,4940.0,99.0,99.0,99.0,99.0,99.0,11.0,34784.0,-2149.0,12.33001973,98.7003534529294,94.5244604319356,-0.404269322267007,104175.0,89.64,43.3,79996.0,1.081,0.38,0.9,100.0,2.192,-0.190066993835604,24179.0
Botswana,2.906,438.28546143,4.6,313.07052014,83.29886009,7750.0,95.0,95.0,95.0,97.0,96.0,253.0,1173186.0,-5778.0,19.70491939,92.2214029742791,79.751688865621,1.63538411022867,2521139.0,40.48,44.1,668354.0,1.032,8.16,28.0,72.0,23.138,2.48675132598612,1852785.0
France,1.86,4508.76074219,6.5,3377.60585968,1131.15472418,45180.0,96.0,93.0,96.0,92.0,96.0,9.0,31725232.0,90527.0,437.48525164,100.0,98.6484145544858,0.335095323008513,68516699.0,35.76,29.1,12302858.0,1.047,11.3,0.55,12.0,7.37,0.661062424539315,56213841.0
Czechia,1.71,1805.44030762,7.6,1526.63381613,278.80653931,29140.0,97.0,97.0,97.0,92.0,97.0,5.0,5541179.0,-86169.0,258.34084521,99.8804688935076,99.1371345347108,0.166668192097377,10882164.0,58.4,41.6,2749052.0,1.05,13.29,0.21,74.0,2.506,0.415846046839682,8133112.0
Nicaragua,2.321,166.49009705,10.4,102.50521696,58.01795277,2510.0,98.0,98.0,98.0,99.0,99.0,43.0,3224663.0,-8189.0,55.30403116,81.6122389735586,72.9693990502626,1.34687135560209,6916140.0,65.77,35.8,2755736.0,1.035,4.17,1.5,88.0,4.574,1.85685858800569,4160404.0
Uruguay,1.567,1692.50195313,7.8,1127.21565263,565.28631767,21580.0,94.0,94.0,94.0,96.0,93.0,36.0,1767639.0,-1348.0,261.68548233,99.4872379896577,97.7678001669948,-0.0440759548302792,3386588.0,65.05,42.4,140476.0,1.058,5.45,2.5,73.0,8.401,0.0404565712858641,3246112.0
Slovenia,1.61,2219.09790039,7.0,1605.97139936,613.1265648,31640.0,95.0,,95.0,94.0,95.0,5.4,1058286.0,3319.0,258.77432426,99.5,98.4178934010152,0.27611493046776,2126324.0,54.4,45.3,926269.0,1.067,10.98,0.68,70.0,3.357,0.898231059174394,1200055.0
"Bahamas, The",1.397,1941.60742188,8.9,1007.76237854,924.14217681,31630.0,89.0,89.0,89.0,83.0,89.0,15.0,237110.0,1018.0,518.97222615,98.8869604973405,94.9305823307593,0.460334786075668,401283.0,74.23,44.5,65152.0,1.028,4.39,0.58,75.0,8.463,0.626416816115178,336131.0
Algeria,2.997,242.07002258,17.5,146.38565972,95.5741952,5320.0,88.0,88.0,88.0,80.0,88.0,61.0,13294279.0,-31240.0,91.80025631,94.2391398601614,86.1385043463065,1.39838651912702,46814308.0,55.58,36.2,11353406.0,1.046,0.61,6.6,86.0,11.427,2.03408385092412,35460902.0
India,2.12,60.6913681,10.5,21.28210144,39.07150655,2650.0,91.0,91.0,91.0,95.0,90.0,202.0,607691498.0,-630830.0,31.56206614,91.5622211412629,69.6631460883283,0.890706546985984,1450935791.0,26.47,31.1,916019293.0,1.082,4.92,23.0,84.0,4.202,2.26446328423312,534916498.0
